date,end_date,product_code,product_color,product_model,product_type,quantity
2024-01-01,2024-01-05,110,italyan ceviz,madra,100cm,1.0
2024-01-01,2024-01-05,130,italyan ceviz,karışık çizgi,100cm,4.0
2024-01-01,2024-01-05,160,italyan ceviz,iki göbek,100cm,47.0
2024-01-01,2024-01-05,230,koyu ceviz,karışık çizgi,100cm,10.0
2024-01-01,2024-01-05,260,koyu ceviz,iki göbek,100cm,2.0
2024-01-01,2024-01-05,320,gold ceviz,baklava,100cm,1.0
2024-01-01,2024-01-05,330,gold ceviz,karışık çizgi,100cm,9.0
2024-01-01,2024-01-05,460,ABD ceviz,iki göbek,100cm,8.0
2024-01-01,2024-01-05,520,wenge,baklava,100cm,9.0
2024-01-01,2024-01-05,530,wenge,karışık çizgi,100cm,3.0
2024-01-01,2024-01-05,560,wenge,iki göbek,100cm,8.0
2024-01-01,2024-01-05,610,bute beyaz,madra,100cm,5.0
2024-01-01,2024-01-05,630,bute beyaz,karışık çizgi,100cm,20.0
2024-01-01,2024-01-05,640,,,100cm,1.0
2024-01-01,2024-01-05,660,bute beyaz,iki göbek,100cm,88.0
2024-01-01,2024-01-05,720,küp akça,baklava,100cm,3.0
2024-01-01,2024-01-05,730,küp akça,karışık çizgi,100cm,21.0
2024-01-01,2024-01-05,760,küp akça,iki göbek,100cm,15.0
2024-01-01,2024-01-05,810,ardahan gri,madra,100cm,20.0
2024-01-01,2024-01-05,840,,,100cm,1.0
2024-01-01,2024-01-05,860,ardahan gri,iki göbek,100cm,14.0
2024-01-01,2024-01-05,930,pvc gri,karışık çizgi,100cm,8.0
2024-01-01,2024-01-05,960,pvc gri,iki göbek,100cm,1.0
2024-01-05,2024-01-12,110,italyan ceviz,madra,100cm,20.0
2024-01-05,2024-01-12,120,italyan ceviz,baklava,100cm,38.0
2024-01-05,2024-01-12,130,italyan ceviz,karışık çizgi,100cm,8.0
2024-01-05,2024-01-12,140,,,100cm,2.0
2024-01-05,2024-01-12,160,italyan ceviz,iki göbek,100cm,40.0
2024-01-05,2024-01-12,220,koyu ceviz,baklava,100cm,11.0
2024-01-05,2024-01-12,230,koyu ceviz,karışık çizgi,100cm,27.0
2024-01-05,2024-01-12,240,,,100cm,3.0
2024-01-05,2024-01-12,260,koyu ceviz,iki göbek,100cm,17.0
2024-01-05,2024-01-12,310,gold ceviz,madra,100cm,3.0
2024-01-05,2024-01-12,320,gold ceviz,baklava,100cm,5.0
2024-01-05,2024-01-12,330,gold ceviz,karışık çizgi,100cm,8.0
2024-01-05,2024-01-12,340,,,100cm,6.0
2024-01-05,2024-01-12,360,gold ceviz,iki göbek,100cm,44.0
2024-01-05,2024-01-12,410,ABD ceviz,madra,100cm,1.0
2024-01-05,2024-01-12,420,ABD ceviz,baklava,100cm,9.0
2024-01-05,2024-01-12,430,ABD ceviz,karışık çizgi,100cm,11.0
2024-01-05,2024-01-12,460,ABD ceviz,iki göbek,100cm,10.0
2024-01-05,2024-01-12,520,wenge,baklava,100cm,11.0
2024-01-05,2024-01-12,530,wenge,karışık çizgi,100cm,12.0
2024-01-05,2024-01-12,540,,,100cm,2.0
2024-01-05,2024-01-12,560,wenge,iki göbek,100cm,17.0
2024-01-05,2024-01-12,610,bute beyaz,madra,100cm,14.0
2024-01-05,2024-01-12,620,bute beyaz,baklava,100cm,11.0
2024-01-05,2024-01-12,630,bute beyaz,karışık çizgi,100cm,63.0
2024-01-05,2024-01-12,640,,,100cm,2.0
2024-01-05,2024-01-12,660,bute beyaz,iki göbek,100cm,170.0
2024-01-05,2024-01-12,720,küp akça,baklava,100cm,20.0
2024-01-05,2024-01-12,730,küp akça,karışık çizgi,100cm,12.0
2024-01-05,2024-01-12,740,,,100cm,2.0
2024-01-05,2024-01-12,760,küp akça,iki göbek,100cm,92.0
2024-01-05,2024-01-12,810,ardahan gri,madra,100cm,11.0
2024-01-05,2024-01-12,820,ardahan gri,baklava,100cm,8.0
